Male,Female,Age,N,N_M_under_70,N_F_under_70,N_under_70,N_M_under_30,N_M_tot,N_F_tot,N_tot
TRUE,FALSE,0,151773,11742649,11684198,23426847,5162729,13235412,13423536,26658948
TRUE,FALSE,1,159071,,,,,,,
TRUE,FALSE,2,155219,,,,,,,
TRUE,FALSE,3,154199,,,,,,,
TRUE,FALSE,4,158527,,,,,,,
TRUE,FALSE,5,159779,,r_tot ,p1_M_under_30,p2_not_M_under_30,,,
TRUE,FALSE,6,163514,,0.00200,0.19366,0.30281,,,
TRUE,FALSE,7,168240,,,,,,,
TRUE,FALSE,8,167557,,r_high,,,,,
TRUE,FALSE,9,169178,,0.00893,,,,,
TRUE,FALSE,10,171154,,RR,,,,,
TRUE,FALSE,11,170393,,10.00000,,,,,
TRUE,FALSE,12,169469,,r_low,,,,,
TRUE,FALSE,13,170954,,0.00089,,,,,
TRUE,FALSE,14,169984,,,,,,,
TRUE,FALSE,15,169780,,p_high_1,p_high_2,p_low_1,p_low_2,,
TRUE,FALSE,16,168629,,0.22038,0.00000,0.77962,1.00000,,
TRUE,FALSE,17,161778,,,,,,,
TRUE,FALSE,18,161949,,r1,,,,,
TRUE,FALSE,19,168256,,0.00266,,,,,
TRUE,FALSE,20,169290,,r2,,,,,
TRUE,FALSE,21,171573,,0.00089,,,,,
TRUE,FALSE,22,181174,,,,,,,
TRUE,FALSE,23,187532,,,,,,,
TRUE,FALSE,24,187372,,,,,,,
TRUE,FALSE,25,189843,,,,,,,
TRUE,FALSE,26,193260,,,,,,,
TRUE,FALSE,27,196116,,,,,,,
TRUE,FALSE,28,199643,,,,,,,
TRUE,FALSE,29,197523,,,,,,,
TRUE,FALSE,30,196627,,,,,,,
TRUE,FALSE,31,195772,,,,,,,
TRUE,FALSE,32,198617,,,,,,,
TRUE,FALSE,33,198590,,,,,,,
TRUE,FALSE,34,195473,,,,,,,
TRUE,FALSE,35,192755,,,,,,,
TRUE,FALSE,36,192891,,,,,,,
TRUE,FALSE,37,193971,,,,,,,
TRUE,FALSE,38,192098,,,,,,,
TRUE,FALSE,39,190542,,,,,,,
TRUE,FALSE,40,189966,,,,,,,
TRUE,FALSE,41,183470,,,,,,,
TRUE,FALSE,42,177422,,,,,,,
TRUE,FALSE,43,167923,,,,,,,
TRUE,FALSE,44,163429,,,,,,,
TRUE,FALSE,45,158728,,,,,,,
TRUE,FALSE,46,157768,,,,,,,
TRUE,FALSE,47,159218,,,,,,,
TRUE,FALSE,48,160178,,,,,,,
TRUE,FALSE,49,162494,,,,,,,
TRUE,FALSE,50,165738,,,,,,,
TRUE,FALSE,51,170788,,,,,,,
TRUE,FALSE,52,171813,,,,,,,
TRUE,FALSE,53,160781,,,,,,,
TRUE,FALSE,54,157893,,,,,,,
TRUE,FALSE,55,151566,,,,,,,
TRUE,FALSE,56,148358,,,,,,,
TRUE,FALSE,57,147553,,,,,,,
TRUE,FALSE,58,148937,,,,,,,
TRUE,FALSE,59,152390,,,,,,,
TRUE,FALSE,60,153701,,,,,,,
TRUE,FALSE,61,152194,,,,,,,
TRUE,FALSE,62,149539,,,,,,,
TRUE,FALSE,63,143097,,,,,,,
TRUE,FALSE,64,139805,,,,,,,
TRUE,FALSE,65,135317,,,,,,,
TRUE,FALSE,66,131605,,,,,,,
TRUE,FALSE,67,128783,,,,,,,
TRUE,FALSE,68,123263,,,,,,,
TRUE,FALSE,69,118867,,,,,,,
TRUE,FALSE,70,117262,,,,,,,
TRUE,FALSE,71,113289,,,,,,,
TRUE,FALSE,72,111169,,,,,,,
TRUE,FALSE,73,107997,,,,,,,
TRUE,FALSE,74,103906,,,,,,,
TRUE,FALSE,75,103778,,,,,,,
TRUE,FALSE,76,104878,,,,,,,
TRUE,FALSE,77,85567,,,,,,,
TRUE,FALSE,78,79260,,,,,,,
TRUE,FALSE,79,72834,,,,,,,
TRUE,FALSE,80,63054,,,,,,,
TRUE,FALSE,81,60266,,,,,,,
TRUE,FALSE,82,53176,,,,,,,
TRUE,FALSE,83,48962,,,,,,,
TRUE,FALSE,84,43582,,,,,,,
TRUE,FALSE,85,38904,,,,,,,
TRUE,FALSE,86,34481,,,,,,,
TRUE,FALSE,87,29301,,,,,,,
TRUE,FALSE,88,24383,,,,,,,
TRUE,FALSE,89,20474,,,,,,,
TRUE,FALSE,90,17100,,,,,,,
TRUE,FALSE,91,14137,,,,,,,
TRUE,FALSE,92,11918,,,,,,,
TRUE,FALSE,93,9619,,,,,,,
TRUE,FALSE,94,7223,,,,,,,
TRUE,FALSE,95,5203,,,,,,,
TRUE,FALSE,96,3747,,,,,,,
TRUE,FALSE,97,2878,,,,,,,
TRUE,FALSE,98,1843,,,,,,,
TRUE,FALSE,99,1094,,,,,,,
TRUE,FALSE,100,1478,,,,,,,
FALSE,TRUE,0,144086,,,,,,,
FALSE,TRUE,1,151350,,,,,,,
FALSE,TRUE,2,147210,,,,,,,
FALSE,TRUE,3,146212,,,,,,,
FALSE,TRUE,4,149253,,,,,,,
FALSE,TRUE,5,151052,,,,,,,
FALSE,TRUE,6,154466,,,,,,,
FALSE,TRUE,7,159160,,,,,,,
FALSE,TRUE,8,157806,,,,,,,
FALSE,TRUE,9,159807,,,,,,,
FALSE,TRUE,10,161139,,,,,,,
FALSE,TRUE,11,161637,,,,,,,
FALSE,TRUE,12,160383,,,,,,,
FALSE,TRUE,13,162331,,,,,,,
FALSE,TRUE,14,160164,,,,,,,
FALSE,TRUE,15,160402,,,,,,,
FALSE,TRUE,16,158050,,,,,,,
FALSE,TRUE,17,152427,,,,,,,
FALSE,TRUE,18,151206,,,,,,,
FALSE,TRUE,19,156173,,,,,,,
FALSE,TRUE,20,157139,,,,,,,
FALSE,TRUE,21,158893,,,,,,,
FALSE,TRUE,22,166468,,,,,,,
FALSE,TRUE,23,174599,,,,,,,
FALSE,TRUE,24,177513,,,,,,,
FALSE,TRUE,25,182026,,,,,,,
FALSE,TRUE,26,186703,,,,,,,
FALSE,TRUE,27,190668,,,,,,,
FALSE,TRUE,28,195196,,,,,,,
FALSE,TRUE,29,196221,,,,,,,
FALSE,TRUE,30,198371,,,,,,,
FALSE,TRUE,31,199663,,,,,,,
FALSE,TRUE,32,202397,,,,,,,
FALSE,TRUE,33,202025,,,,,,,
FALSE,TRUE,34,198911,,,,,,,
FALSE,TRUE,35,197587,,,,,,,
FALSE,TRUE,36,196039,,,,,,,
FALSE,TRUE,37,196118,,,,,,,
FALSE,TRUE,38,195220,,,,,,,
FALSE,TRUE,39,192590,,,,,,,
FALSE,TRUE,40,191292,,,,,,,
FALSE,TRUE,41,185113,,,,,,,
FALSE,TRUE,42,180734,,,,,,,
FALSE,TRUE,43,172603,,,,,,,
FALSE,TRUE,44,169104,,,,,,,
FALSE,TRUE,45,164172,,,,,,,
FALSE,TRUE,46,162580,,,,,,,
FALSE,TRUE,47,161514,,,,,,,
FALSE,TRUE,48,163280,,,,,,,
FALSE,TRUE,49,165859,,,,,,,
FALSE,TRUE,50,169729,,,,,,,
FALSE,TRUE,51,176418,,,,,,,
FALSE,TRUE,52,178241,,,,,,,
FALSE,TRUE,53,165868,,,,,,,
FALSE,TRUE,54,163822,,,,,,,
FALSE,TRUE,55,156822,,,,,,,
FALSE,TRUE,56,153218,,,,,,,
FALSE,TRUE,57,152626,,,,,,,
FALSE,TRUE,58,154505,,,,,,,
FALSE,TRUE,59,158789,,,,,,,
FALSE,TRUE,60,160464,,,,,,,
FALSE,TRUE,61,159093,,,,,,,
FALSE,TRUE,62,157824,,,,,,,
FALSE,TRUE,63,152462,,,,,,,
FALSE,TRUE,64,149211,,,,,,,
FALSE,TRUE,65,145907,,,,,,,
FALSE,TRUE,66,141782,,,,,,,
FALSE,TRUE,67,138097,,,,,,,
FALSE,TRUE,68,134441,,,,,,,
FALSE,TRUE,69,129967,,,,,,,
FALSE,TRUE,70,127472,,,,,,,
FALSE,TRUE,71,123100,,,,,,,
FALSE,TRUE,72,120870,,,,,,,
FALSE,TRUE,73,117863,,,,,,,
FALSE,TRUE,74,113255,,,,,,,
FALSE,TRUE,75,111833,,,,,,,
FALSE,TRUE,76,113052,,,,,,,
FALSE,TRUE,77,92487,,,,,,,
FALSE,TRUE,78,87208,,,,,,,
FALSE,TRUE,79,80734,,,,,,,
FALSE,TRUE,80,71497,,,,,,,
FALSE,TRUE,81,68127,,,,,,,
FALSE,TRUE,82,61943,,,,,,,
FALSE,TRUE,83,58331,,,,,,,
FALSE,TRUE,84,54394,,,,,,,
FALSE,TRUE,85,49346,,,,,,,
FALSE,TRUE,86,44879,,,,,,,
FALSE,TRUE,87,39801,,,,,,,
FALSE,TRUE,88,34889,,,,,,,
FALSE,TRUE,89,30079,,,,,,,
FALSE,TRUE,90,26593,,,,,,,
FALSE,TRUE,91,22916,,,,,,,
FALSE,TRUE,92,20405,,,,,,,
FALSE,TRUE,93,17315,,,,,,,
FALSE,TRUE,94,13687,,,,,,,
FALSE,TRUE,95,10837,,,,,,,
FALSE,TRUE,96,8033,,,,,,,
FALSE,TRUE,97,6278,,,,,,,
FALSE,TRUE,98,4471,,,,,,,
FALSE,TRUE,99,2928,,,,,,,
FALSE,TRUE,100,4715,,,,,,,
